station_id,root_grdc_no,test_start_year,test_end_year
206,187,2017,2019
207,187,2017,2019
208,187,2017,2019
209,187,2017,2019
210,187,2017,2019
211,187,2017,2019
212,187,2017,2019
213,187,2017,2019
214,187,2017,2019
215,187,2017,2019
216,187,2017,2019
217,187,2017,2019
218,187,2017,2019
219,187,2017,2019
220,187,2017,2019
221,187,2017,2019
222,187,2017,2019
223,187,2017,2019
224,187,2017,2019
225,187,2017,2019
226,187,2017,2019
227,187,2017,2019
228,187,2017,2019
229,187,2017,2019
230,187,2017,2019
231,187,2017,2019
232,187,2017,2019
233,187,2017,2019
234,187,2017,2019
235,187,2017,2019
236,187,2017,2019
237,187,2017,2019
238,187,2017,2019
239,187,2017,2019
240,187,2017,2019
241,187,2017,2019
242,187,2017,2019
243,187,2017,2019
244,187,2017,2019
245,187,2017,2019
246,187,2017,2019
247,187,2017,2019
248,187,2017,2019
249,187,2017,2019
250,187,2017,2019
251,187,2017,2019
252,187,2017,2019
253,187,2017,2019
254,187,2017,2019
255,187,2017,2019
256,187,2017,2019
257,187,2017,2019
258,187,2017,2019
259,187,2017,2019
260,187,2017,2019
261,187,2017,2019
262,187,2017,2019
263,187,2017,2019
264,187,2017,2019
265,187,2017,2019
266,187,2017,2019
267,187,2017,2019
268,187,2017,2019
269,187,2017,2019
270,187,2017,2019
271,187,2017,2019
272,187,2017,2019
273,187,2017,2019
274,187,2017,2019
275,187,2017,2019
276,187,2017,2019
277,187,2017,2019
278,187,2017,2019
279,187,2017,2019
280,187,2017,2019
281,187,2017,2019
282,187,2017,2019
283,187,2017,2019
284,187,2017,2019
285,187,2017,2019
286,187,2017,2019
287,187,2017,2019
2260100,2260700,2017,2023
2260600,2260700,2017,2023
2260110,2260700,2017,2023
2260400,2260700,2017,2023
2260500,2260700,2017,2023
2260120,2260700,2017,2023
2260700,2260700,2017,2023
4103200,4103200,2018,2022
4103650,4103200,2018,2022
4203070,4103200,2018,2022
4103630,4103200,2018,2022
4103600,4103200,2018,2022
4103633,4103200,2018,2022
4103602,4103200,2018,2022
4103635,4103200,2018,2022
4203060,4103200,2018,2022
4103550,4103200,2018,2022
4103615,4103200,2018,2022
4116480,4115201,2017,2022
4215335,4115201,2017,2022
4215426,4115201,2017,2022
4215430,4115201,2017,2022
4115080,4115201,2017,2022
4115081,4115201,2017,2022
4115082,4115201,2017,2022
4115100,4115201,2017,2022
4115101,4115201,2017,2022
4115102,4115201,2017,2022
4115105,4115201,2017,2022
4115106,4115201,2017,2022
4116150,4115201,2017,2022
4116181,4115201,2017,2022
4116183,4115201,2017,2022
4116184,4115201,2017,2022
4116185,4115201,2017,2022
4116186,4115201,2017,2022
4116187,4115201,2017,2022
4116188,4115201,2017,2022
4116189,4115201,2017,2022
4116190,4115201,2017,2022
4116191,4115201,2017,2022
4116192,4115201,2017,2022
4116193,4115201,2017,2022
4215010,4115201,2017,2022
4215011,4115201,2017,2022
4116200,4115201,2017,2022
4116201,4115201,2017,2022
4115200,4115201,2017,2022
4115201,4115201,2017,2022
4115202,4115201,2017,2022
4115203,4115201,2017,2022
4115204,4115201,2017,2022
4115205,4115201,2017,2022
4115206,4115201,2017,2022
4215040,4115201,2017,2022
4215050,4115201,2017,2022
4115211,4115201,2017,2022
4115210,4115201,2017,2022
4215051,4115201,2017,2022
4115220,4115201,2017,2022
4115221,4115201,2017,2022
4115222,4115201,2017,2022
4115223,4115201,2017,2022
4115224,4115201,2017,2022
4115226,4115201,2017,2022
4115230,4115201,2017,2022
4115231,4115201,2017,2022
4115235,4115201,2017,2022
4115236,4115201,2017,2022
4115240,4115201,2017,2022
4115241,4115201,2017,2022
4115250,4115201,2017,2022
4215090,4115201,2017,2022
4215610,4115201,2017,2022
4115260,4115201,2017,2022
4115261,4115201,2017,2022
4215102,4115201,2017,2022
4215103,4115201,2017,2022
4215101,4115201,2017,2022
4115262,4115201,2017,2022
4115270,4115201,2017,2022
4116300,4115201,2017,2022
4116301,4115201,2017,2022
4215120,4115201,2017,2022
4115281,4115201,2017,2022
4115280,4115201,2017,2022
4115282,4115201,2017,2022
4215125,4115201,2017,2022
4116311,4115201,2017,2022
4115290,4115201,2017,2022
4116320,4115201,2017,2022
4215650,4115201,2017,2022
4115300,4115201,2017,2022
